Analysis:

"Image Name"	"Number of Lanes"	"Background Color"	"Background Correction"	"Disk Radius"	"Lanes Constant"	"Lane Sum"	"Lanes Straight"	
"Untitled1"	"3"	"White"	"No background correction"	"1"	"True"	"False"	"True"	



Lanes :

"Lane ID"	"Name"	"Start"	"End"	"Width"	"Mass"	"I-Max"	"I-Vol"	"C-Max"	"C-Vol"	"LanesBands"	
"A"	"N/A"	"60"	"1139"	"24"	"100"	"10011"	"514996642"	"-"	"-"	"12"	
"B"	"N/A"	"60"	"1139"	"24"	"100"	"9047"	"476873308"	"-"	"-"	"4"	
"C"	"N/A"	"60"	"1139"	"24"	"100"	"7192"	"468316868"	"-"	"-"	"7"	



Bands:

"Lane ID"	"Band ID"	"Name"	"MW"	"Rf"	"Top"	"Peak"	"Bottom"	"Left"	"Right"	"I-Max"	"I-Vol"	"I-%"	"I-Mass"	"C-Max"	"C-Vol"	"C-%"	"C-Mass"	"Background Correction"	
"A"	"A1"	"N/A"	"-"	"0.34"	"415"	"423"	"427"	"608"	"631"	"45433"	"4727430"	"0.92"	"0.92"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A2"	"N/A"	"-"	"0.35"	"430"	"435"	"451"	"608"	"631"	"34236"	"9317807"	"1.81"	"1.81"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A3"	"N/A"	"-"	"0.37"	"454"	"460"	"469"	"608"	"631"	"28911"	"8407093"	"1.63"	"1.63"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A4"	"N/A"	"-"	"0.39"	"472"	"481"	"490"	"608"	"631"	"32790"	"9648882"	"1.87"	"1.87"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A5"	"N/A"	"-"	"0.42"	"493"	"508"	"517"	"608"	"631"	"30542"	"12638695"	"2.45"	"2.45"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A6"	"N/A"	"-"	"0.44"	"520"	"534"	"544"	"608"	"631"	"34187"	"12028254"	"2.34"	"2.34"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A7"	"N/A"	"-"	"0.47"	"547"	"562"	"574"	"608"	"631"	"32035"	"14477882"	"2.81"	"2.81"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A8"	"N/A"	"-"	"0.49"	"577"	"588"	"601"	"608"	"631"	"36148"	"12633179"	"2.45"	"2.45"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A9"	"N/A"	"-"	"0.53"	"616"	"629"	"643"	"608"	"631"	"29314"	"15987695"	"3.1"	"3.1"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A10"	"N/A"	"-"	"0.55"	"646"	"657"	"697"	"608"	"631"	"26970"	"25473649"	"4.95"	"4.95"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A11"	"N/A"	"-"	"0.84"	"904"	"962"	"970"	"608"	"631"	"41581"	"32334510"	"6.28"	"6.28"	"-"	"-"	"-"	"-"	"65535"	
"A"	"A12"	"N/A"	"-"	"0.98"	"982"	"1122"	"1126"	"608"	"631"	"1542"	"122078096"	"23.7"	"23.7"	"-"	"-"	"-"	"-"	"65535"	
"B"	"B1"	"N/A"	"-"	"0.39"	"475"	"480"	"487"	"648"	"671"	"45404"	"4700135"	"0.99"	"0.99"	"-"	"-"	"-"	"-"	"65535"	
"B"	"B2"	"N/A"	"-"	"0.51"	"583"	"613"	"625"	"648"	"671"	"23925"	"25731704"	"5.4"	"5.4"	"-"	"-"	"-"	"-"	"65535"	
"B"	"B3"	"N/A"	"-"	"0.53"	"628"	"636"	"655"	"648"	"671"	"26284"	"16309378"	"3.42"	"3.42"	"-"	"-"	"-"	"-"	"65535"	
"B"	"B4"	"N/A"	"-"	"0.98"	"934"	"1117"	"1123"	"648"	"671"	"1656"	"140629505"	"29.49"	"29.49"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C1"	"N/A"	"-"	"0.45"	"523"	"548"	"553"	"691"	"714"	"13183"	"21361510"	"4.56"	"4.56"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C2"	"N/A"	"-"	"0.46"	"556"	"561"	"589"	"691"	"714"	"18432"	"21507209"	"4.59"	"4.59"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C3"	"N/A"	"-"	"0.51"	"592"	"608"	"622"	"691"	"714"	"36468"	"15368209"	"3.28"	"3.28"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C4"	"N/A"	"-"	"0.53"	"625"	"636"	"649"	"691"	"714"	"36933"	"11465137"	"2.45"	"2.45"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C5"	"N/A"	"-"	"0.82"	"898"	"944"	"946"	"691"	"714"	"44216"	"21251079"	"4.54"	"4.54"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C6"	"N/A"	"-"	"0.89"	"961"	"1016"	"1018"	"691"	"714"	"38446"	"31892051"	"6.81"	"6.81"	"-"	"-"	"-"	"-"	"65535"	
"C"	"C7"	"N/A"	"-"	"0.98"	"1021"	"1117"	"1129"	"691"	"714"	"1539"	"100202452"	"21.4"	"21.4"	"-"	"-"	"-"	"-"	"65535"	



Concentration:

"Band"	"A"	"B"	"C"	
"1"	"-"	"-"	"-"	
"2"	"-"	"-"	"-"	
"3"	"-"	"-"	"-"	
"4"	"-"	"-"	"-"	
"5"	"-"	"-"	"-"	
"6"	"-"	"-"	"-"	
"7"	"-"	"-"	"-"	
"8"	"-"	"-"	"-"	
"9"	"-"	"-"	"-"	
"10"	"-"	"-"	"-"	
"11"	"-"	"-"	"-"	
"12"	"-"	"-"	"-"	



Calibrated Concentration:

"Calibrated Concentration Intensities"	"Calibrated Concentration Ranges"	"Source"	
"-"	"-"	"N/A"	



MolecularWeight:

"Band"	"A"	"B"	"C"	
"1"	"-"	"-"	"-"	
"2"	"-"	"-"	"-"	
"3"	"-"	"-"	"-"	
"4"	"-"	"-"	"-"	
"5"	"-"	"-"	"-"	
"6"	"-"	"-"	"-"	
"7"	"-"	"-"	"-"	
"8"	"-"	"-"	"-"	
"9"	"-"	"-"	"-"	
"10"	"-"	"-"	"-"	
"11"	"-"	"-"	"-"	
"12"	"-"	"-"	"-"	



